latitude start,latitude end,longitude start,longitude end,time,source,hash
15.0625,20.0625,-59.9375,-54.9375,2020-01-04,asc,16718c1e5ae68a99943a1db4c159d61d
15.0625,20.0625,-59.9375,-54.9375,2020-01-14,asc,08e21712c63fd16182846ccf3bc78e61
15.0625,20.0625,-59.9375,-54.9375,2020-01-26,asc,af6c2d277395ce8be4b07277a65b7016
15.0625,20.0625,-59.9375,-54.9375,2020-02-02,asc,5fbbaafab4d39d30611345d903872c16
15.0625,20.0625,-59.9375,-54.9375,2020-02-12,asc,73ecbeb55b5b0e192858a13d07479842
15.0625,20.0625,-59.9375,-54.9375,2020-02-24,asc,e13c695d16ce2160ca2b7a7a31dff015
15.0625,20.0625,-59.9375,-54.9375,2020-03-02,asc,05f63601aada58a87049c33e4ccc1603
15.0625,20.0625,-59.9375,-54.9375,2020-03-12,asc,7b3ce8232c408aa27d43f39d9a95a397
15.0625,20.0625,-59.9375,-54.9375,2020-03-14,asc,893068be7839a65a0136b9e23654f0bf
15.0625,20.0625,-59.9375,-54.9375,2020-03-24,asc,0859cd0e7efd5fb7b9ff55b2a76ec95c
15.0625,20.0625,-59.9375,-54.9375,2020-03-31,asc,404b5b87715ea7a5fbd7957629b4cf50
15.0625,20.0625,-59.9375,-54.9375,2020-04-10,asc,62f8ac0f2948f8f836a880a2333eed94
15.0625,20.0625,-59.9375,-54.9375,2020-04-12,asc,ac103c845c0ed0751e4e6acb6d44fa90
15.0625,20.0625,-59.9375,-54.9375,2020-04-22,asc,b2181c8eb96050a258536cf63d03e408
15.0625,20.0625,-59.9375,-54.9375,2020-04-29,asc,e283d457fc82ab00650725e42266f833
15.0625,20.0625,-59.9375,-54.9375,2020-05-09,asc,31a9c82fdd8618aff3b529f98fe9fe60
15.0625,20.0625,-59.9375,-54.9375,2020-05-11,asc,430c24cf65f2cd4310b8683d9261f25e
15.0625,20.0625,-59.9375,-54.9375,2020-05-21,asc,489fd3f87f47d845f3b0a08f7ea35747
15.0625,20.0625,-59.9375,-54.9375,2020-05-28,asc,f3c0482beeeacfcb0832929c89927940
